app_name,category,appstore_link_url,img_src_url
SaraMart,Shopping,https://apps.apple.com/gb/app/saramart/id1399907836?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/71444553a7267c08ed91df1100e03916daa97b071471d85265d1d21a293d972f.jpg
Color Fill 3D,Games,https://apps.apple.com/gb/app/color-fill-3d/id1473024868?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/dcc8f5086a03884fe01617fe3054fa51dfa75a37a526df9b7180c29dd8925acf.jpg
Perfect Paint,Games,https://apps.apple.com/gb/app/perfect-paint/id1475655474?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/abd7c14a200b7ff8407a7ea8d567a25a7b3388d5122f58bf357f32ba620e7f3d.jpg
Dig it!,Games,https://apps.apple.com/gb/app/dig-it/id1453411110?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/ab31b76cf5e3c0e80b825b75dc10f16b6bb601fac2a7e0ad8178e2ae43ee710b.jpg
SoundCloud - Music & Audio,Music,https://apps.apple.com/gb/app/soundcloud-music-audio/id336353151?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/143cbdc9c72da5c0130ce91cf2df8c43ecdd3dee62a6b566e4483a795684e3c1.jpg
Magic Tiles 3: Piano Game,Games,https://apps.apple.com/gb/app/magic-tiles-3-piano-game/id1443446174?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/3a9916ea52a103cee874855542968f59010d52e74a04c45cee8fb50f642b9c0f.jpg
Google Drive – online backup,Productivity,https://apps.apple.com/gb/app/google-drive-online-backup/id507874739?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/52a4238bee10dccb6582ce56657929617e8ac3dcd3ce87063daeeb5c2f126e08.jpg
Norton Secure VPN - Proxy VPN,Productivity,https://apps.apple.com/gb/app/norton-secure-vpn-proxy-vpn/id1095519285?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/58e3e965925671281417d8ef580cb5a30a435ece09ee2fbfe7541f30b01cd179.jpg
Let Me Out - Addictive Puzzle,Games,https://apps.apple.com/gb/app/let-me-out-addictive-puzzle/id1440451402?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/c567be7f96cc6d3758e269098d9d09541131b7425ec2d1640324c240a564a270.jpg
8 Ball Pool™,Games,https://apps.apple.com/gb/app/8-ball-pool/id543186831?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/02a635632068c6de73bad8169fe1266565ab2a13c4e2116f3f3f3296821f8ae2.jpg
Dumb Ways To Draw,Games,https://apps.apple.com/gb/app/dumb-ways-to-draw/id1454581348?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/2e4a453be8cba92eef7100ec7737212c93d810c9819ee4c8e7a53d7a9139ab4e.jpg
Booking.com Travel Deals,Travel,https://apps.apple.com/gb/app/booking-com-travel-deals/id367003839?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/dee7cc02ac41d1385eac1f6c4bc126fb90286a917916ed9bc981d31e6c1dc108.jpg
Google Photos,Photo & Video,https://apps.apple.com/gb/app/google-photos/id962194608?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/d5f36cd94b34eaa2b8e0cbe42fb741f351568c94355b0b019538ee7d17e710b7.jpg
"Google Docs: Sync, Edit, Share",Productivity,https://apps.apple.com/gb/app/google-docs-sync-edit-share/id842842640?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/a43cfb3a772d1818039ddec529aa1d21328912844dcd3c14920a614303172766.jpg
Polysphere,Games,https://apps.apple.com/gb/app/polysphere/id1440756080?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/527053dfe5a431ca2f13ef4882cf68cfa439870c5d242c8f8ed1d37ec278fd7b.jpg
"Avatar Keyboard-Themes, Emojis",Utilities,https://apps.apple.com/gb/app/avatar-keyboard-themes-emojis/id1454513174?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/acc1052dbbc3803c27e05b222d4ac87c9916eeece0347aa92e9830a1c370c1e4.jpg
My McDonald’s freshly prepared,Food & Drink,https://apps.apple.com/gb/app/my-mcdonalds-freshly-prepared/id1082476620?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/699211edc92dd777d27fc2d04d8161b33390ef8ed8b04e73693b7c53f7e2288d.jpg
Gumtree: Find Deals Near You,Shopping,https://apps.apple.com/gb/app/gumtree-find-deals-near-you/id487946174?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/7d0a757845a51a7e5e4d156d48a935c5e17c6f17331e4d580f84fa1303e7155a.jpg
Microsoft Teams,Business,https://apps.apple.com/gb/app/microsoft-teams/id1113153706?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/0fa5c28dfc2278362a64d6486c49cf39d51a3087d402adacd6b8672db3068008.jpg
Mr Bullet - Spy Puzzles,Games,https://apps.apple.com/gb/app/mr-bullet-spy-puzzles/id1449014713?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/f7c53748813485ea6f97168bda852d65c12eb7562c1ee24c6c1286414e9b958c.jpg
Clean Up 3D,Games,https://apps.apple.com/gb/app/clean-up-3d/id1465580173?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/8df85559fc2defdc973b3265a69c0f0496a1447686d461615b4d4d30d4e56ec6.jpg
Doodle Blast!!!,Games,https://apps.apple.com/gb/app/doodle-blast/id1460560326?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/258f3dab5ec0c534bd8921fdbe80c92ef1ee2f1a99c36e0c0ac16f49c87662b0.jpg
Calm - Meditation and Sleep,Health & Fitness,https://apps.apple.com/gb/app/calm-meditation-and-sleep/id571800810?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/7c3f0b0b3982500c19622e92f73d0e06a50b64f9002da41b149b94fd3818bbfd.jpg
Kick the Buddy: Forever,Games,https://apps.apple.com/gb/app/kick-the-buddy-forever/id1435346021?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/eb1640eb52253d59fef2bb49d8fa61e2b5339202b8e5155abe0bb5587148f60e.jpg
Indeed Job Search,Business,https://apps.apple.com/gb/app/indeed-job-search/id309735670?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/b5e80e470cd79fde107ddedc9085aef81620e402a82f58bdf7d9d8edf5c98134.jpg
Fatsoma - Discover Events,Entertainment,https://apps.apple.com/gb/app/fatsoma-discover-events/id567477938?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/1ca7424b8de192c2c01445c939f7608045e16c5f6d6bf8954956df86afa5176e.jpg
Purple Diver,Games,https://apps.apple.com/gb/app/purple-diver/id1453402726?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/0536848a338d49f6061e2f166287fcd643efad1d9571645804ee261fa126994b.jpg
Duolingo,Education,https://apps.apple.com/gb/app/duolingo/id570060128?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/4663b465be16e8aaff9a5a7fc6ea6f9d9e02355da3f12cf50d594c08cd05c3f4.jpg
Roblox,Games,https://apps.apple.com/gb/app/roblox/id431946152?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/9dffb76e1a462ed5e77d052b70383e844368fe09a9385cfed2f354bb809780bf.jpg
Waze Navigation & Live Traffic,Navigation,https://apps.apple.com/gb/app/waze-navigation-live-traffic/id323229106?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/4ac5049fc48d5c826c66083cddab2cb7fd82bd7bac3061b1d57b50fa0f4f72f4.jpg
Magic Tiles Piano and Vocal,Games,https://apps.apple.com/gb/app/magic-tiles-piano-and-vocal/id1459499463?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/6229963d9ee4af4b6927c77064f5691a0fda73ba68a1a4441d8464918ba40865.jpg
Ryanair,Travel,https://apps.apple.com/gb/app/ryanair/id504270602?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/1fc6f2a5aa249a6fd2b1be4b5a3980cd1b5ba45ae2f9a0d50231f2ee5329518d.jpg
Origame,Games,https://apps.apple.com/gb/app/origame/id1470395927?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/0e47fd4b1c5b0d4fbe0561a30828003d352d3026e50fb24beb6181494ca6ca9b.jpg
Animal house : with Puzzles,Games,https://apps.apple.com/gb/app/animal-house-with-puzzles/id1439762226?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/5b1bcdf093695f770fb5316f19e8c355404fa93b688f75e760aac225279bbd81.jpg
Picker 3D,Games,https://apps.apple.com/gb/app/picker-3d/id1462317543?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/87723b47b6115fbd0b88d6d0e4b7ba2e6ddfa3e4e4498f06a50c1a1a82c228fd.jpg
MyFitnessPal,Health & Fitness,https://apps.apple.com/gb/app/myfitnesspal/id341232718?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/94408023db086c15960fec23c55250a29b3b9c27506383bcba29f5b1310cd28e.jpg
Shazam,Music,https://apps.apple.com/gb/app/shazam/id284993459?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/3c3bc99866aa9921f325e8b4a7c5bc1f28fa028e6b9bc1112941c9410c878d21.jpg
Touch the wall,Games,https://apps.apple.com/gb/app/touch-the-wall/id1464879969?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/67a6a83f3a776d5e6b29f1863b3892373fec2c2aba159a74458fd5d89fdf582c.jpg
AliExpress Shopping App,Shopping,https://apps.apple.com/gb/app/aliexpress-shopping-app/id436672029?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/a79706c8b537bb510c85ad11ae246df5455d2b32ee6518a4780042dc7151a886.jpg
Neon Splash,Games,https://apps.apple.com/gb/app/neon-splash/id1473007377?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/5cd99e05ac340cf491aa93a55a39571209af0f66d6cc07d0215be74713007227.jpg
Amazon Alexa,Music,https://apps.apple.com/gb/app/amazon-alexa/id944011620?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/b4c69a6989270a17fad8d6b01d2a5ca6387466c1f54025a3768d776eac9e2673.jpg
Party.io,Games,https://apps.apple.com/gb/app/party-io/id1439785734?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/fe53c95b381066fdda347fa637b349b61673d1437f0a5d3368491ac26fba3204.jpg
Word Villas-A super fun game,Games,https://apps.apple.com/gb/app/word-villas-crossword-design/id1466588301?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/c9225cded917e7e6797592f70f2c43dffcc8575e8848f66b4c409b5fb1576abe.jpg
Archery Go - Bow&Arrow King,Games,https://apps.apple.com/gb/app/archery-go-bow-arrow-king/id1455330046?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/c8ccfc7ffcab30015a7f9911d602746ef7b352f082ed38ead4938ca041734a11.jpg
Square Bird.,Games,https://apps.apple.com/gb/app/square-bird/id1435729435?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/7254132deba25290bc9216f1b5cc33485bd0372292bd8b84644b4640b6a042a0.jpg
Sticky Block,Games,https://apps.apple.com/gb/app/sticky-block/id1465856936?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/be9208304a074d30ae471d84bc7b212db29673b02273ae2be88fe068820e2c9e.jpg
First Bus – Travel Made Easy,Travel,https://apps.apple.com/gb/app/first-bus-travel-made-easy/id566586379?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/bf41cdd95257aca38a0be7af1d67a1887488954016285e20c517f1867fdddc5e.jpg
Vova,Shopping,https://apps.apple.com/gb/app/vova/id1358582620?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/353aa459b395a5d61c6e5ec621031e24c014eb18a6301a439dda9f2fbabac2f7.jpg
"Shpock: Sell, Buy, Classifieds",Shopping,https://apps.apple.com/gb/app/shpock-sell-buy-classifieds/id557153158?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/90df689b53278d7313da56131169bd92d2a3da01dc005cf00f2d337756f0aa6f.jpg
Groupon,Shopping,https://apps.apple.com/gb/app/groupon/id352683833?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/5ff9da275a85cd6dec3fdda61254e8173f977d1214d26595664336753f02617e.jpg
